Entity,Code,Year,Annual CO2 emissions (zero filled)
Afghanistan,AFG,2020,12160286
Albania,ALB,2020,4534673
Algeria,DZA,2020,154995460
Andorra,AND,2020,466294
Angola,AGO,2020,22198161
Anguilla,AIA,2020,123426
Antigua and Barbuda,ATG,2020,430410
Argentina,ARG,2020,156978063
Armenia,ARM,2020,5890292
Aruba,ABW,2020,753218
Australia,AUS,2020,391891928
Austria,AUT,2020,60634876
Azerbaijan,AZE,2020,37720462
Bahamas,BHS,2020,2337684
Bahrain,BHR,2020,34960075
Bangladesh,BGD,2020,92841625
Barbados,BRB,2020,1086743
Belarus,BLR,2020,57445417
Belgium,BEL,2020,83748962
Belize,BLZ,2020,582795
Benin,BEN,2020,6702765
Bermuda,BMU,2020,624448
Bhutan,BTN,2020,1925367
Bolivia,BOL,2020,20700023
Bonaire Sint Eustatius and Saba,BES,2020,300654
Bosnia and Herzegovina,BIH,2020,21417961
Botswana,BWA,2020,6518934
Brazil,BRA,2020,467383500
British Virgin Islands,VGB,2020,139250
Brunei,BRN,2020,10158494
Bulgaria,BGR,2020,37444110
Burkina Faso,BFA,2020,3969636
Burundi,BDI,2020,602181
Cambodia,KHM,2020,15325618
Cameroon,CMR,2020,6889318
Canada,CAN,2020,535822990
Cape Verde,CPV,2020,549930
Central African Republic,CAF,2020,187906
Chad,TCD,2020,912301
Chile,CHL,2020,81171490
China,CHN,2020,10667887453
Colombia,COL,2020,89104941
Comoros,COM,2020,258456
Congo,COG,2020,3116760
Cook Islands,COK,2020,79423
Costa Rica,CRI,2020,7907389
Cote d'Ivoire,CIV,2020,10070733
Croatia,HRV,2020,16982010
Cuba,CUB,2020,20152280
Curacao,CUW,2020,3335066
Cyprus,CYP,2020,6496162
Czechia,CZE,2020,87974706
Democratic Republic of Congo,COD,2020,2477334
Denmark,DNK,2020,26194912
Djibouti,DJI,2020,351464
Dominica,DMA,2020,139250
Dominican Republic,DOM,2020,27769310
Ecuador,ECU,2020,30931763
Egypt,EGY,2020,213456746
El Salvador,SLV,2020,6123716
Equatorial Guinea,GNQ,2020,10265267
Eritrea,ERI,2020,722332
Estonia,EST,2020,10452414
Eswatini,SWZ,2020,955776
Ethiopia,ETH,2020,14664773
Faeroe Islands,FRO,2020,683898
Fiji,FJI,2020,1393413
Finland,FIN,2020,39287631
France,FRA,2020,276633893
French Guiana,GUF,2020,728379
French Polynesia,PYF,2020,828267
Gabon,GAB,2020,4298177
Gambia,GMB,2020,499912
Georgia,GEO,2020,9968094
Germany,DEU,2020,644310352
Ghana,GHA,2020,16001330
Greece,GRC,2020,52235141
Greenland,GRL,2020,514413
Grenada,GRD,2020,294834
Guadeloupe,GLP,2020,2561883
Guatemala,GTM,2020,18937908
Guinea,GIN,2020,3394049
Guinea-Bissau,GNB,2020,286774
Guyana,GUY,2020,2212691
Haiti,HTI,2020,2919510
Honduras,HND,2020,9659570
Hong Kong,HKG,2020,31238788
Hungary,HUN,2020,48275451
Iceland,ISL,2020,2935990
India,IND,2020,2441792313
Indonesia,IDN,2020,589500368
Iran,IRN,2020,745035109
Iraq,IRQ,2020,210829146
Ireland,IRL,2020,33348699
Israel,ISR,2020,56350861
Italy,ITA,2020,303815294
Jamaica,JAM,2020,7429454
Japan,JPN,2020,1030775384
Jordan,JOR,2020,25487430
Kazakhstan,KAZ,2020,291335929
Kenya,KEN,2020,16146074
Kiribati,KIR,2020,68077
Kosovo,OWID_KOS,2020,7890151
Kuwait,KWT,2020,88935077
Kyrgyzstan,KGZ,2020,11507817
Laos,LAO,2020,33846818
Latvia,LVA,2020,6772778
Lebanon,LBN,2020,25969298
Lesotho,LSO,2020,2183421
Liberia,LBR,2020,1008984
Libya,LBY,2020,50720577
Liechtenstein,LIE,2020,141012
Lithuania,LTU,2020,13799480
Luxembourg,LUX,2020,8174648
Macao,MAC,2020,1262755
Madagascar,MDG,2020,3679618
Malawi,MWI,2020,1394983
Malaysia,MYS,2020,272607434
Maldives,MDV,2020,1796469
Mali,MLI,2020,3390011
Malta,MLT,2020,1594903
Marshall Islands,MHL,2020,151282
Martinique,MTQ,2020,2348393
Mauritania,MRT,2020,3377180
Mauritius,MUS,2020,3979358
Mayotte,MYT,2020,305584
Mexico,MEX,2020,356968119
Micronesia (country),FSM,2020,147500
Moldova,MDA,2020,5146876
Mongolia,MNG,2020,88441761
Montenegro,MNE,2020,2309894
Montserrat,MSR,2020,25318
Morocco,MAR,2020,64536253
Mozambique,MOZ,2020,6570936
Myanmar,MMR,2020,36325546
Namibia,NAM,2020,3877243
Nauru,NRU,2020,56731
Nepal,NPL,2020,16957668
Netherlands,NLD,2020,138100074
New Caledonia,NCL,2020,8692686
New Zealand,NZL,2020,33475158
Nicaragua,NIC,2020,5073650
Niger,NER,2020,1690423
Nigeria,NGA,2020,125462961
Niue,NIU,2020,11346
North Korea,PRK,2020,29311104
North Macedonia,MKD,2020,7146509
Norway,NOR,2020,41283000
Oman,OMN,2020,62162570
Pakistan,PAK,2020,234754740
Palau,PLW,2020,219358
Palestine,PSE,2020,2898754
Panama,PAN,2020,10779522
Papua New Guinea,PNG,2020,6652121
Paraguay,PRY,2020,7569706
Peru,PER,2020,44706055
Philippines,PHL,2020,136017950
Poland,POL,2020,299592767
Portugal,PRT,2020,40387817
Qatar,QAT,2020,106654967
Reunion,REU,2020,4587948
Romania,ROU,2020,71475046
Russia,RUS,2020,1577136041
Rwanda,RWA,2020,1032737
Saint Helena,SHN,2020,9494
Saint Kitts and Nevis,KNA,2020,212040
Saint Lucia,LCA,2020,439905
Saint Pierre and Miquelon,SPM,2020,50636
Saint Vincent and the Grenadines,VCT,2020,208876
Samoa,WSM,2020,245833
Sao Tome and Principe,STP,2020,112744
Saudi Arabia,SAU,2020,625507882
Senegal,SEN,2020,10451209
Serbia,SRB,2020,43135397
Seychelles,SYC,2020,491067
Sierra Leone,SLE,2020,877190
Singapore,SGP,2020,45503904
Sint Maarten (Dutch part),SXM,2020,623462
Slovakia,SVK,2020,30730385
Slovenia,SVN,2020,12562986
Solomon Islands,SLB,2020,298781
Somalia,SOM,2020,562143
South Africa,ZAF,2020,451957087
South Korea,KOR,2020,597605055
South Sudan,SSD,2020,1179207
Spain,ESP,2020,208914968
Sri Lanka,LKA,2020,21106254
Sudan,SDN,2020,18859244
Suriname,SUR,2020,2224178
Sweden,SWE,2020,38634794
Switzerland,CHE,2020,32298333
Syria,SYR,2020,30531928
Taiwan,TWN,2020,273174653
Tajikistan,TJK,2020,9447656
Tanzania,TZA,2020,10938632
Thailand,THA,2020,257765782
Timor,TLS,2020,525704
Togo,TGO,2020,2191571
Tonga,TON,2020,143718
Trinidad and Tobago,TTO,2020,35509414
Tunisia,TUN,2020,28126702
Turkey,TUR,2020,392794051
Turkmenistan,TKM,2020,75337709
Turks and Caicos Islands,TCA,2020,202546
Tuvalu,TUV,2020,7564
Uganda,UGA,2020,4892203
Ukraine,UKR,2020,213908873
United Arab Emirates,ARE,2020,150268152
United Kingdom,GBR,2020,329578911
United States of America,USA,2020,4712770573
Uruguay,URY,2020,5840060
Uzbekistan,UZB,2020,112784345
Vanuatu,VUT,2020,181538
Venezuela,VEN,2020,84609478
Vietnam,VNM,2020,254303169
Wallis and Futuna,WLF,2020,26474
Yemen,YEM,2020,9768313
Zambia,ZMB,2020,6572938
Zimbabwe,ZWE,2020,10531342